,SKS,IPK,dum_grade,lulus_4_tahun
290,40,2.195,4.0,0
291,40,2.18,3.0,0
292,40,2.3075,2.0,0
293,40,2.8850000000000002,0.0,0
294,40,3.4375,0.0,0
295,40,3.1325,0.0,0
296,40,3.2049999999999996,1.0,0
297,40,2.5125,1.0,0
298,40,2.9775,1.0,0
299,40,1.2275,7.0,0
300,40,3.1025,0.0,0
301,40,3.75,0.0,0
302,40,2.77,1.0,0
303,40,2.96,1.0,0
304,40,0.0,14.0,0
305,40,3.3475,0.0,0
306,40,3.825,0.0,0
307,40,2.5524999999999998,2.0,0
308,40,3.3825000000000003,0.0,0
309,40,3.38,0.0,0
310,40,3.25,0.0,0
311,40,2.4575,3.0,0
312,40,3.065,1.0,0
313,40,2.7975000000000003,2.0,0
314,40,1.6774999999999998,5.0,0
315,40,3.415,0.0,0
316,40,3.4174999999999995,0.0,0
317,40,2.33,1.0,0
318,40,2.0599999999999996,3.0,0
319,40,1.6824999999999999,4.0,0
320,40,2.485,2.0,0
321,40,0.0,14.0,0
322,40,2.8274999999999997,0.0,0
323,40,3.5100000000000002,0.0,0
324,40,3.4524999999999997,0.0,0
325,40,2.46,2.0,0
326,40,2.4575,3.0,0
327,40,2.1175,5.0,0
328,40,2.4975,1.0,0
329,40,2.1025,3.0,0
330,40,3.3825000000000003,1.0,0
331,40,2.1849999999999996,2.0,0
332,40,1.985,4.0,0
333,40,2.835,1.0,0
334,40,3.1225,0.0,0
335,40,3.655,0.0,0
336,40,3.015,1.0,0
337,40,2.975,1.0,0
338,40,3.4625,0.0,0
339,40,3.715,0.0,0
340,40,2.08,4.0,0
341,40,3.335,0.0,0
342,40,2.6625,2.0,0
343,40,2.6325,2.0,0
344,40,2.8125,2.0,0
345,40,2.7775,1.0,0
346,40,2.8525,1.0,0
347,40,2.6125,2.0,0
348,40,3.2,1.0,0
349,40,2.7350000000000003,3.0,0
350,40,2.9325,0.0,0
351,40,2.6425,2.0,0
352,40,3.3600000000000003,1.0,0
353,40,2.5825,2.0,0
354,40,2.29,3.0,0
355,40,3.2649999999999997,0.0,0
356,40,1.2125,8.0,0
357,40,3.8225000000000002,0.0,0
358,40,2.2399999999999998,3.0,0
359,40,2.77,2.0,0
360,40,2.45,3.0,0
361,40,2.88,1.0,0
362,40,3.4299999999999997,0.0,0
363,40,2.185,2.0,0
364,40,2.7925,1.0,0
365,40,2.4825,3.0,0
366,40,2.6725000000000003,1.0,0
367,40,2.705,1.0,0
368,40,2.6475,2.0,0
369,40,2.7199999999999998,2.0,0
370,40,2.7575,1.0,0
371,40,2.3850000000000002,3.0,0
372,40,1.6425,8.0,0
373,40,2.4625,2.0,0
374,40,2.7775000000000003,1.0,0
375,40,3.94,0.0,0
376,40,2.42,3.0,0
377,40,3.8549999999999995,0.0,0
378,40,1.385,7.0,0
379,40,1.795,5.0,0
380,40,1.42,7.0,0
381,40,0.15,13.0,0
382,40,2.275,3.0,0
383,40,2.77,2.0,0
384,40,2.5375,2.0,0
385,40,1.725,6.0,0
386,40,2.3125,4.0,0
387,40,2.165,4.0,0
388,40,2.3675,3.0,0
389,40,2.9475000000000002,2.0,0
390,40,3.5475000000000003,0.0,0
391,40,2.45,2.0,0
392,40,1.4925,7.0,0
393,40,3.6350000000000002,0.0,0
394,40,2.5524999999999998,2.0,0
395,40,0.0,14.0,0
396,40,3.6625,0.0,0
397,40,3.5025,0.0,0
398,40,2.8525,0.0,0
399,40,3.095,1.0,0
400,40,1.895,4.0,0
401,40,3.335,0.0,0
402,40,2.31,2.0,0
403,40,2.4175,1.0,0
404,40,2.4850000000000003,3.0,0
405,40,3.34,0.0,0
406,40,2.645,1.0,0
407,40,0.0,14.0,0
408,40,0.05,14.0,0
409,40,2.93,0.0,0
410,40,2.6175,1.0,0
411,40,3.38,0.0,0
412,40,1.4675,6.0,0
413,40,3.335,0.0,0
414,40,2.0975,3.0,0
415,40,3.1350000000000002,0.0,0
416,40,2.8675,1.0,0
417,40,3.5025000000000004,0.0,0
418,40,2.825,0.0,0
419,40,0.99,8.0,0
420,40,3.02,0.0,0
421,40,2.2625,2.0,0
422,40,1.7825,7.0,0
423,40,0.475,11.0,0
424,40,2.8725,1.0,0
425,40,1.8275,5.0,0
426,40,2.4524999999999997,1.0,0
427,40,2.48,2.0,0
428,40,3.1950000000000003,1.0,0
429,40,2.8575000000000004,1.0,0
430,40,0.825,9.0,0
431,47,3.35531914893617,0.0,0
432,145,2.8758620689655174,1.0,0
433,145,2.900689655172414,2.0,0
434,145,3.7103448275862068,0.0,1
435,145,2.9517241379310346,1.0,0
436,145,2.8551724137931034,1.0,0
437,145,2.8413793103448275,1.0,0
438,145,3.5517241379310347,0.0,1
439,290,3.2882758620689656,0.0,1
440,145,2.779310344827586,1.0,0
441,145,2.629655172413793,2.0,0
442,145,2.9586206896551723,0.0,1
443,145,3.579310344827586,0.0,1
444,144,2.9243055555555557,0.0,1
445,145,3.089655172413793,0.0,1
446,145,3.0827586206896553,0.0,1
447,145,2.9793103448275864,0.0,1
448,145,3.4482758620689653,0.0,1
449,290,2.833103448275862,4.0,0
450,145,3.3793103448275863,0.0,1
451,145,3.0482758620689654,1.0,0
452,145,2.850344827586207,1.0,0
453,145,2.806896551724138,1.0,0
454,145,2.9448275862068964,2.0,0
455,148,2.955405405405405,0.0,1
456,145,3.110344827586207,0.0,1
457,144,2.736111111111111,2.0,0
458,145,3.6344827586206896,0.0,1
459,290,2.6055172413793106,4.0,0
460,290,2.7917241379310345,2.0,0
461,145,2.5917241379310347,2.0,0
462,145,2.9931034482758623,0.0,1
463,145,3.117241379310345,0.0,1
464,145,3.4827586206896552,1.0,0
465,290,3.537931034482759,0.0,1
466,290,2.8262068965517244,2.0,0
467,145,3.2620689655172415,0.0,1
468,290,2.9310344827586206,2.0,0
469,145,3.3448275862068964,0.0,1
470,145,2.896551724137931,2.0,0
471,145,3.0068965517241377,0.0,1
472,145,2.972413793103448,1.0,0
473,146,2.7815068493150688,2.0,0
474,145,3.1586206896551725,0.0,1
475,145,3.524137931034483,0.0,1
476,145,2.7724137931034485,2.0,0
477,145,3.3124137931034485,1.0,0
478,146,2.4753424657534246,2.0,0
479,145,3.386206896551724,0.0,1
480,145,3.0827586206896553,0.0,1
481,145,3.1379310344827585,0.0,1
482,145,3.462068965517241,0.0,1
483,145,3.095862068965517,0.0,1
484,145,3.0551724137931036,1.0,0
485,145,2.730344827586207,1.0,0
486,145,2.691034482758621,1.0,0
487,145,3.503448275862069,0.0,1
488,145,3.489655172413793,0.0,1
489,145,3.0551724137931036,0.0,1
490,145,3.296551724137931,0.0,1
491,145,2.6620689655172414,0.0,1
492,145,3.2482758620689656,0.0,1
493,290,3.123448275862069,4.0,0
494,145,2.76,1.0,0
495,145,3.43448275862069,0.0,1
496,145,2.922068965517241,0.0,1
497,145,3.066206896551724,0.0,1
498,290,3.58,0.0,1
499,290,3.41448275862069,0.0,1
500,290,2.846206896551724,2.0,0
501,145,2.818620689655172,2.0,0
502,145,3.3875862068965517,0.0,1
503,145,3.1717241379310344,0.0,1
504,290,3.6627586206896554,0.0,1
505,145,3.271034482758621,0.0,1
506,145,2.8662068965517244,1.0,0
507,145,2.9420689655172416,1.0,0
508,145,3.6448275862068966,0.0,1
509,145,3.7372413793103445,0.0,1
510,145,3.904827586206897,0.0,1
511,145,3.3875862068965517,0.0,1
512,145,3.3882758620689657,0.0,1
513,290,3.5917241379310343,0.0,1
514,145,3.400689655172414,2.0,0
515,145,2.7,1.0,0
516,145,2.923448275862069,2.0,0
517,290,3.221379310344828,0.0,1
518,145,3.2006896551724138,0.0,1
519,145,2.9213793103448276,1.0,0
520,145,3.023448275862069,1.0,0
521,145,3.5717241379310343,0.0,1
522,145,3.586206896551724,0.0,1
523,290,3.2758620689655173,2.0,0
524,145,2.911034482758621,1.0,0
525,146,2.573972602739726,2.0,0
526,145,2.462068965517241,2.0,0
527,145,3.12551724137931,2.0,0
528,145,2.7800000000000002,2.0,0
529,145,3.2,1.0,0
530,145,2.691034482758621,2.0,0
531,145,3.607586206896552,0.0,1
532,145,2.813103448275862,0.0,1
533,145,2.8193103448275862,0.0,1
534,145,3.1544827586206896,1.0,0
535,145,2.8420689655172415,2.0,0
536,145,3.2489655172413796,0.0,1
537,145,3.088965517241379,0.0,1
538,145,3.3586206896551722,1.0,0
539,145,2.9510344827586206,0.0,1
540,145,3.1613793103448273,0.0,1
541,145,3.246896551724138,1.0,0
542,145,2.906896551724138,2.0,0
543,145,3.075862068965517,1.0,0
544,145,3.2551724137931033,0.0,1
545,145,3.017931034482759,1.0,0
546,145,3.529655172413793,0.0,1
547,144,2.7215277777777778,2.0,0
548,145,3.7434482758620686,1.0,0
549,144,3.1590277777777778,0.0,1
550,145,3.3510344827586205,0.0,1
551,145,3.3344827586206898,0.0,1
552,145,2.8751724137931034,2.0,0
553,145,3.079310344827586,0.0,1
554,290,3.115172413793103,2.0,0
555,146,2.697945205479452,2.0,0
556,145,2.8537931034482757,2.0,0
557,145,3.167586206896552,0.0,1
558,145,3.4158620689655175,0.0,1
559,145,2.8289655172413792,2.0,0
560,145,2.9848275862068965,2.0,0
561,145,3.1358620689655172,2.0,0
562,145,3.115172413793103,2.0,0
563,145,2.803448275862069,2.0,0
564,145,3.0351724137931035,0.0,1
565,145,3.7744827586206893,0.0,1
566,145,3.5468965517241378,0.0,1
567,144,2.7680555555555557,2.0,0
568,145,3.911724137931035,0.0,1
569,145,3.6358620689655177,0.0,1
570,145,3.3772413793103446,0.0,1
571,145,2.8179310344827586,2.0,0
572,145,3.269655172413793,0.0,1
573,144,3.002083333333333,1.0,0
574,145,3.4268965517241377,0.0,1
575,145,2.9806896551724136,1.0,0
576,145,3.8482758620689657,0.0,1
577,146,2.791095890410959,1.0,0
578,145,3.3551724137931034,0.0,1
579,145,4.0,0.0,1
580,145,3.9586206896551723,0.0,1
581,145,3.3117241379310345,0.0,1
582,133,2.5616541353383457,2.0,0
583,145,2.8613793103448275,2.0,0
584,147,2.672108843537415,2.0,0
585,145,2.9255172413793105,1.0,0
586,145,3.4813793103448276,0.0,1
587,145,3.600689655172414,0.0,1
588,145,3.7524137931034485,0.0,1
589,144,3.1187500000000004,0.0,1
590,145,3.167586206896552,1.0,0
591,146,2.962328767123288,0.0,1
592,145,2.9710344827586206,2.0,0
593,145,2.831034482758621,1.0,0
594,145,3.4979310344827583,0.0,1
595,144,2.7819444444444446,1.0,0
596,145,3.6537931034482756,0.0,1
597,145,3.0868965517241382,1.0,0
598,145,3.3800000000000003,0.0,1
599,144,3.117361111111111,0.0,1
600,145,2.942758620689655,2.0,0
601,146,2.947945205479452,1.0,0
602,144,2.84375,2.0,0
603,145,3.2441379310344827,1.0,0
604,144,3.1125,1.0,0
605,144,3.7625000000000006,0.0,1
606,144,3.845833333333333,0.0,1
607,144,3.627083333333333,0.0,1
608,144,3.372916666666667,0.0,1
609,144,2.9569444444444444,2.0,0
610,144,3.232638888888889,0.0,1
611,144,3.0250000000000004,1.0,0
612,144,3.793055555555556,0.0,1
613,144,2.8256944444444447,2.0,0
614,144,2.9937500000000004,2.0,0
615,144,3.581944444444444,0.0,1
616,144,3.738888888888889,0.0,1
617,144,3.1631944444444446,0.0,1
618,144,3.754166666666667,0.0,1
619,144,3.2083333333333335,0.0,1
620,146,2.776712328767123,2.0,0
621,144,3.1631944444444446,1.0,0
622,144,3.6805555555555554,0.0,1
623,144,3.773611111111111,0.0,1
624,144,3.9895833333333335,0.0,1
625,144,3.473611111111111,0.0,1
626,144,3.534027777777778,1.0,0
627,144,3.38125,1.0,0
628,144,3.211111111111111,0.0,1
629,147,2.512244897959184,2.0,0
630,144,2.6590277777777778,2.0,0
631,144,3.290277777777778,0.0,1
632,144,3.3881944444444443,0.0,1
633,144,3.341666666666667,0.0,1
634,144,3.2180555555555554,0.0,1
635,144,3.6083333333333334,0.0,1
636,144,3.5659722222222223,0.0,1
637,144,3.4875,0.0,1
638,136,2.963235294117647,1.0,0
639,144,3.0374999999999996,0.0,1
640,146,3.1308219178082193,1.0,0
641,144,2.933333333333333,2.0,0
642,144,2.9312500000000004,2.0,0
643,144,2.8625,2.0,0
644,141,2.882269503546099,1.0,0
645,144,3.221527777777778,1.0,0
646,144,3.0243055555555554,1.0,0
647,144,3.0326388888888887,0.0,1
648,144,3.1500000000000004,0.0,1
649,144,3.6416666666666666,0.0,1
650,144,3.8312500000000003,0.0,1
651,144,3.4930555555555554,0.0,1
652,144,2.9368055555555554,2.0,0
653,144,3.2270833333333333,1.0,0
654,139,2.5424460431654676,6.0,0
655,144,3.6597222222222223,0.0,1
656,144,3.595138888888889,0.0,1
657,143,2.7125874125874123,2.0,0
658,144,3.747916666666667,0.0,1
659,144,3.3833333333333333,0.0,1
660,144,3.346527777777778,0.0,1
661,144,3.3805555555555555,0.0,1
662,144,2.7631944444444443,2.0,0
663,124,2.3733870967741937,7.0,0
664,141,2.9446808510638296,1.0,0
665,115,1.4069565217391304,22.0,0
666,147,2.7054421768707484,2.0,0
667,147,2.5564625850340135,2.0,0
668,144,3.129861111111111,0.0,1
669,148,2.65945945945946,2.0,0
670,144,3.183333333333333,0.0,1
671,144,2.875,2.0,0
672,144,3.240972222222222,1.0,0
673,133,2.0240601503759397,12.0,0
674,145,3.003448275862069,2.0,0
675,144,3.176388888888889,0.0,1
676,144,3.196527777777778,0.0,1
677,145,2.8820689655172416,2.0,0
678,145,3.349655172413793,0.0,1
679,145,3.269655172413793,1.0,0
680,145,3.4213793103448276,0.0,1
681,145,3.1662068965517243,1.0,0
682,146,2.8842465753424658,1.0,0
683,145,3.5613793103448272,0.0,1
684,145,3.882758620689655,0.0,1
685,145,3.7455172413793103,0.0,1
686,137,2.8014598540145985,2.0,0
687,145,3.1627586206896554,0.0,1
688,141,3.151063829787234,0.0,0
689,145,3.8517241379310345,0.0,1
690,147,3.0714285714285716,2.0,0
691,145,3.6282758620689655,0.0,1
692,145,3.1579310344827585,0.0,1
693,145,3.2986206896551726,0.0,1
694,145,3.246896551724138,0.0,1
695,143,3.0853146853146853,2.0,0
696,145,3.0717241379310347,2.0,0
697,145,3.4331034482758622,0.0,1
698,145,2.9675862068965517,2.0,0
699,145,3.2841379310344827,0.0,1
700,145,3.80551724137931,0.0,1
701,145,3.2372413793103445,1.0,0
702,146,2.835616438356164,2.0,0
703,134,2.7365671641791045,6.0,0
704,145,3.3275862068965516,0.0,1
705,145,3.1020689655172413,1.0,0
706,145,3.1579310344827585,0.0,1
707,145,3.466206896551724,0.0,1
708,145,3.2248275862068967,1.0,0
709,145,2.990344827586207,1.0,0
710,145,3.673793103448276,0.0,1
711,146,3.036301369863014,1.0,0
712,145,3.2227586206896555,1.0,0
713,146,3.06986301369863,1.0,0
714,134,2.6276119402985074,3.0,0
715,145,3.504137931034483,1.0,0
716,145,3.282758620689655,1.0,0
717,145,3.493793103448276,0.0,1
718,145,3.1848275862068967,1.0,0
719,145,2.8951724137931034,2.0,0
720,145,3.2420689655172414,0.0,1
721,145,3.261379310344828,1.0,0
722,145,3.183448275862069,1.0,0
723,145,3.079310344827586,2.0,0
724,145,3.191034482758621,1.0,0
725,145,3.4689655172413794,0.0,1
726,145,3.48,0.0,1
727,145,3.3786206896551727,1.0,0
728,145,3.395862068965517,2.0,0
729,138,3.1333333333333337,2.0,0
730,117,1.6777777777777778,16.0,0
731,137,2.7204379562043797,5.0,0
732,130,2.316923076923077,6.0,0
733,145,3.70551724137931,0.0,1
734,145,3.9441379310344824,0.0,1
735,148,2.7709459459459462,5.0,0
736,145,3.2006896551724138,1.0,0
737,146,2.9356164383561647,2.0,0
738,133,2.536842105263158,5.0,0
739,139,2.9431654676258994,2.0,0
740,134,2.6611940298507464,3.0,0
